dataset,n_base_classifiers,n_pontos_proximos,acc_min,classifier_type,acc1,acc2,acc3,acc4,acc5,acc_mean,time_to_run
load_accent_recognition,20,10,0.0,knn,0.8636363636363636,0.7878787878787878,0.7727272727272727,0.9393939393939394,0.7846153846153846,0.8296503496503496,7.2601518630981445
load_accent_recognition,20,10,0.05,knn,0.7878787878787878,0.7727272727272727,0.7424242424242424,0.9393939393939394,0.8,0.8084848484848484,7.270935773849487
load_accent_recognition,20,10,0.1,knn,0.8333333333333334,0.7878787878787878,0.7272727272727273,0.9090909090909091,0.8,0.8115151515151515,7.2428977489471436
load_accent_recognition,20,10,0.15,knn,0.8333333333333334,0.7575757575757576,0.7424242424242424,0.9090909090909091,0.7692307692307693,0.8023310023310023,7.247931241989136
load_accent_recognition,20,10,0.2,knn,0.8333333333333334,0.7727272727272727,0.6818181818181818,0.9242424242424242,0.7692307692307693,0.7962703962703962,7.265281915664673
load_accent_recognition,20,10,0.25,knn,0.803030303030303,0.7727272727272727,0.7727272727272727,0.9242424242424242,0.7846153846153846,0.8114685314685316,7.253351926803589
load_accent_recognition,20,10,0.3,knn,0.7727272727272727,0.7878787878787878,0.6818181818181818,0.9090909090909091,0.8,0.7903030303030303,7.251311779022217
load_accent_recognition,20,10,0.35,knn,0.8333333333333334,0.7727272727272727,0.7424242424242424,0.9242424242424242,0.7846153846153846,0.8114685314685316,7.260040521621704
load_accent_recognition,20,10,0.4,knn,0.7878787878787878,0.7424242424242424,0.7272727272727273,0.9090909090909091,0.7846153846153846,0.7902564102564102,7.229302167892456
load_accent_recognition,20,10,0.45,knn,0.8484848484848485,0.803030303030303,0.7575757575757576,0.9393939393939394,0.8153846153846154,0.8327738927738928,7.172453165054321
load_accent_recognition,20,10,0.5,knn,0.8181818181818182,0.7727272727272727,0.7727272727272727,0.9090909090909091,0.7846153846153846,0.8114685314685314,7.112609386444092
load_accent_recognition,20,10,0.55,knn,0.8333333333333334,0.803030303030303,0.7424242424242424,0.8939393939393939,0.7846153846153846,0.8114685314685316,7.116982460021973
load_accent_recognition,20,10,0.6,knn,0.8181818181818182,0.8181818181818182,0.7575757575757576,0.9090909090909091,0.8,0.8206060606060607,6.952082872390747
load_accent_recognition,20,10,0.65,knn,0.8484848484848485,0.7878787878787878,0.7272727272727273,0.9242424242424242,0.8,0.8175757575757576,6.933929443359375
load_accent_recognition,20,10,0.7,knn,0.8333333333333334,0.803030303030303,0.7575757575757576,0.9090909090909091,0.8,0.8206060606060606,6.622471809387207
load_accent_recognition,20,10,0.75,knn,0.8636363636363636,0.7878787878787878,0.7424242424242424,0.9090909090909091,0.7846153846153846,0.8175291375291375,6.63594913482666
load_accent_recognition,20,10,0.8,knn,0.8636363636363636,0.7727272727272727,0.7878787878787878,0.9393939393939394,0.7692307692307693,0.8265734265734265,6.1452555656433105
load_accent_recognition,20,10,0.85,knn,0.803030303030303,0.8333333333333334,0.7727272727272727,0.9090909090909091,0.8153846153846154,0.8267132867132867,6.153223037719727
load_accent_recognition,20,10,0.9,knn,0.7878787878787878,0.7272727272727273,0.7727272727272727,0.9090909090909091,0.8,0.7993939393939394,5.549288988113403
load_accent_recognition,20,10,1.0,knn,0.7424242424242424,0.7727272727272727,0.696969696969697,0.8333333333333334,0.7384615384615385,0.7567832167832168,4.754007816314697
load_accent_recognition,20,10,0.95,knn,0.7878787878787878,0.7878787878787878,0.7727272727272727,0.8787878787878788,0.7538461538461538,0.7962237762237763,5.629706144332886
load_accent_recognition,20,10,0.0,mix,0.8181818181818182,0.8181818181818182,0.7878787878787878,0.9242424242424242,0.7846153846153846,0.8266200466200466,3.7752633094787598
load_accent_recognition,20,10,0.05,mix,0.8181818181818182,0.7424242424242424,0.803030303030303,0.9545454545454546,0.8307692307692308,0.8297902097902098,3.7755258083343506
load_accent_recognition,20,10,0.1,mix,0.8181818181818182,0.7575757575757576,0.803030303030303,0.9545454545454546,0.8153846153846154,0.8297435897435899,3.8249852657318115
load_accent_recognition,20,10,0.15,mix,0.8787878787878788,0.7878787878787878,0.7727272727272727,0.9393939393939394,0.8615384615384616,0.8480652680652682,3.915980339050293
load_accent_recognition,20,10,0.2,mix,0.8484848484848485,0.7575757575757576,0.7424242424242424,0.9393939393939394,0.8,0.8175757575757576,3.8283073902130127
load_accent_recognition,20,10,0.25,mix,0.8333333333333334,0.7424242424242424,0.7878787878787878,0.9242424242424242,0.8307692307692308,0.8237296037296037,3.7759921550750732
load_accent_recognition,20,10,0.3,mix,0.8484848484848485,0.7575757575757576,0.803030303030303,0.9090909090909091,0.8153846153846154,0.8267132867132867,3.766019105911255
load_accent_recognition,20,10,0.35,mix,0.8484848484848485,0.7424242424242424,0.7272727272727273,0.9090909090909091,0.8,0.8054545454545454,3.7539639472961426
load_accent_recognition,20,10,0.4,mix,0.803030303030303,0.7878787878787878,0.7878787878787878,0.8787878787878788,0.8153846153846154,0.8145920745920746,3.7405686378479004
load_accent_recognition,20,10,0.45,mix,0.8333333333333334,0.7727272727272727,0.7424242424242424,0.8636363636363636,0.8,0.8024242424242425,3.7486391067504883
load_accent_recognition,20,10,0.5,mix,0.803030303030303,0.7575757575757576,0.7878787878787878,0.9090909090909091,0.8153846153846154,0.8145920745920746,3.6905834674835205
load_accent_recognition,20,10,0.55,mix,0.8181818181818182,0.7878787878787878,0.7727272727272727,0.9393939393939394,0.7692307692307693,0.8174825174825175,3.6787266731262207
load_accent_recognition,20,10,0.6,mix,0.8484848484848485,0.7878787878787878,0.803030303030303,0.9090909090909091,0.8153846153846154,0.8327738927738928,3.6247122287750244
load_accent_recognition,20,10,0.65,mix,0.8181818181818182,0.7727272727272727,0.7424242424242424,0.9090909090909091,0.8,0.8084848484848484,3.6259405612945557
load_accent_recognition,20,10,0.7,mix,0.7727272727272727,0.7878787878787878,0.7727272727272727,0.9090909090909091,0.8153846153846154,0.8115617715617715,3.4936394691467285
load_accent_recognition,20,10,0.75,mix,0.7878787878787878,0.803030303030303,0.696969696969697,0.9090909090909091,0.8153846153846154,0.8024708624708625,3.505786180496216
load_accent_recognition,20,10,0.8,mix,0.8181818181818182,0.8333333333333334,0.7878787878787878,0.8787878787878788,0.8307692307692308,0.8297902097902098,3.26298189163208
load_accent_recognition,20,10,0.85,mix,0.8181818181818182,0.7424242424242424,0.7424242424242424,0.8636363636363636,0.7846153846153846,0.7902564102564102,3.27023983001709
load_accent_recognition,20,10,0.9,mix,0.7727272727272727,0.8333333333333334,0.6818181818181818,0.7575757575757576,0.7384615384615385,0.7567832167832167,2.961866855621338
load_accent_recognition,20,10,1.0,mix,0.7878787878787878,0.6515151515151515,0.5909090909090909,0.7727272727272727,0.7076923076923077,0.7021445221445222,2.617871046066284
load_accent_recognition,20,10,0.95,mix,0.7272727272727273,0.8484848484848485,0.6666666666666666,0.8636363636363636,0.7384615384615385,0.7689044289044289,3.159330368041992
load_accent_recognition,20,10,0.0,naive-bayes,0.6212121212121212,0.6212121212121212,0.4696969696969697,0.6666666666666666,0.6307692307692307,0.6019114219114219,3.1449496746063232
load_accent_recognition,20,10,0.05,naive-bayes,0.6666666666666666,0.5909090909090909,0.48484848484848486,0.6666666666666666,0.6153846153846154,0.6048951048951049,3.1441750526428223
load_accent_recognition,20,10,0.1,naive-bayes,0.6363636363636364,0.6363636363636364,0.4696969696969697,0.6363636363636364,0.6153846153846154,0.5988344988344989,3.128333806991577
load_accent_recognition,20,10,0.15,naive-bayes,0.6212121212121212,0.6212121212121212,0.48484848484848486,0.6212121212121212,0.6,0.5896969696969697,3.109393358230591
load_accent_recognition,20,10,0.2,naive-bayes,0.6515151515151515,0.6515151515151515,0.4393939393939394,0.6363636363636364,0.6461538461538462,0.604988344988345,3.0363917350769043
load_accent_recognition,20,10,0.25,naive-bayes,0.6515151515151515,0.5909090909090909,0.5303030303030303,0.6363636363636364,0.6307692307692307,0.607972027972028,3.0469586849212646
load_accent_recognition,20,10,0.3,naive-bayes,0.6515151515151515,0.6212121212121212,0.5151515151515151,0.6363636363636364,0.6307692307692307,0.611002331002331,2.939154624938965
load_accent_recognition,20,10,0.35,naive-bayes,0.6818181818181818,0.6363636363636364,0.5151515151515151,0.6515151515151515,0.6615384615384615,0.6292773892773893,2.9473588466644287
load_accent_recognition,20,10,0.4,naive-bayes,0.6363636363636364,0.6666666666666666,0.5606060606060606,0.6666666666666666,0.6,0.6260606060606061,2.8146955966949463
load_accent_recognition,20,10,0.45,naive-bayes,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.6212121212121212,0.6307692307692307,0.6322144522144522,2.826094388961792
load_accent_recognition,20,10,0.5,naive-bayes,0.7121212121212122,0.6363636363636364,0.6060606060606061,0.6666666666666666,0.6615384615384615,0.6565501165501165,2.6575098037719727
load_accent_recognition,20,10,0.55,naive-bayes,0.6666666666666666,0.6666666666666666,0.48484848484848486,0.6212121212121212,0.7076923076923077,0.6294172494172494,2.6785569190979004
load_accent_recognition,20,10,0.6,naive-bayes,0.7272727272727273,0.5909090909090909,0.5757575757575758,0.6212121212121212,0.6615384615384615,0.6353379953379953,2.5279905796051025
load_accent_recognition,20,10,0.65,naive-bayes,0.6818181818181818,0.6212121212121212,0.5757575757575758,0.6666666666666666,0.676923076923077,0.6444755244755245,2.51432466506958
load_accent_recognition,20,10,0.7,naive-bayes,0.696969696969697,0.6060606060606061,0.5606060606060606,0.6666666666666666,0.6615384615384615,0.6383682983682983,2.408843755722046
load_accent_recognition,20,10,0.75,naive-bayes,0.6363636363636364,0.6212121212121212,0.5303030303030303,0.696969696969697,0.6615384615384615,0.6292773892773893,2.4047739505767822
load_accent_recognition,20,10,0.8,naive-bayes,0.6212121212121212,0.5909090909090909,0.5303030303030303,0.7575757575757576,0.676923076923077,0.6353846153846154,2.2985944747924805
load_accent_recognition,20,10,0.85,naive-bayes,0.6060606060606061,0.6515151515151515,0.5303030303030303,0.6666666666666666,0.6923076923076923,0.6293706293706294,2.3378448486328125
load_accent_recognition,20,10,0.9,naive-bayes,0.6818181818181818,0.6363636363636364,0.5303030303030303,0.6212121212121212,0.7076923076923077,0.6354778554778555,2.3286824226379395
load_accent_recognition,20,10,1.0,naive-bayes,0.6515151515151515,0.6212121212121212,0.6212121212121212,0.696969696969697,0.6307692307692307,0.6443356643356644,2.124423027038574
load_accent_recognition,20,10,0.95,naive-bayes,0.6515151515151515,0.6363636363636364,0.5454545454545454,0.6818181818181818,0.7076923076923077,0.6445687645687646,2.252474546432495
load_accent_recognition,20,10,0.0,perceptron,0.6818181818181818,0.6363636363636364,0.6060606060606061,0.6818181818181818,0.6307692307692307,0.6473659673659673,1.699631929397583
load_accent_recognition,20,10,0.1,perceptron,0.7272727272727273,0.696969696969697,0.6060606060606061,0.7424242424242424,0.7692307692307693,0.7083916083916083,1.6314735412597656
load_accent_recognition,20,10,0.2,perceptron,0.7272727272727273,0.7272727272727273,0.6212121212121212,0.8181818181818182,0.6923076923076923,0.7172494172494173,1.6003704071044922
load_accent_recognition,20,10,0.4,perceptron,0.803030303030303,0.7424242424242424,0.6818181818181818,0.8181818181818182,0.7230769230769231,0.7537062937062937,1.4967174530029297
load_accent_recognition,20,10,0.5,perceptron,0.7727272727272727,0.7121212121212122,0.6666666666666666,0.8333333333333334,0.7076923076923077,0.7385081585081585,1.472348690032959
load_accent_recognition,20,10,0.8,perceptron,0.7272727272727273,0.7121212121212122,0.6666666666666666,0.7727272727272727,0.6615384615384615,0.708065268065268,1.438687801361084
load_accent_recognition,20,10,0.9,perceptron,0.7424242424242424,0.6818181818181818,0.6515151515151515,0.7575757575757576,0.7076923076923077,0.7082051282051282,1.4317116737365723
load_accent_recognition,20,10,1.0,perceptron,0.803030303030303,0.803030303030303,0.6515151515151515,0.7575757575757576,0.676923076923077,0.7384149184149184,1.4011938571929932
load_accent_recognition,20,10,0.05,perceptron,0.6666666666666666,0.7424242424242424,0.6515151515151515,0.7272727272727273,0.6615384615384615,0.6898834498834499,1.6428635120391846
load_accent_recognition,20,10,0.15,perceptron,0.7121212121212122,0.696969696969697,0.6515151515151515,0.7575757575757576,0.676923076923077,0.6990209790209791,1.6077418327331543
load_accent_recognition,20,10,0.25,perceptron,0.696969696969697,0.7121212121212122,0.6818181818181818,0.7727272727272727,0.7230769230769231,0.7173426573426573,1.5817534923553467
load_accent_recognition,20,10,0.3,perceptron,0.7575757575757576,0.6818181818181818,0.6818181818181818,0.8484848484848485,0.7230769230769231,0.7385547785547786,1.5324435234069824
load_accent_recognition,20,10,0.35,perceptron,0.7575757575757576,0.6666666666666666,0.6212121212121212,0.8484848484848485,0.7538461538461538,0.7295571095571096,1.5454819202423096
load_accent_recognition,20,10,0.45,perceptron,0.7575757575757576,0.6363636363636364,0.6515151515151515,0.8787878787878788,0.7384615384615385,0.7325407925407925,1.5057713985443115
load_accent_recognition,20,10,0.55,perceptron,0.7727272727272727,0.6666666666666666,0.6363636363636364,0.7878787878787878,0.7384615384615385,0.7204195804195803,1.4677937030792236
load_accent_recognition,20,10,0.6,perceptron,0.7272727272727273,0.696969696969697,0.6515151515151515,0.803030303030303,0.7230769230769231,0.7203729603729604,1.4561872482299805
load_accent_recognition,20,10,0.65,perceptron,0.7575757575757576,0.8333333333333334,0.696969696969697,0.8333333333333334,0.7230769230769231,0.768857808857809,1.4451496601104736
load_accent_recognition,20,10,0.7,perceptron,0.803030303030303,0.6666666666666666,0.6666666666666666,0.8484848484848485,0.676923076923077,0.7323543123543124,1.425675392150879
load_accent_recognition,20,10,0.75,perceptron,0.803030303030303,0.696969696969697,0.7272727272727273,0.803030303030303,0.7076923076923077,0.7475990675990676,1.4365489482879639
load_accent_recognition,20,10,0.85,perceptron,0.7727272727272727,0.7272727272727273,0.7272727272727273,0.8787878787878788,0.7076923076923077,0.7627505827505828,1.426504135131836
load_accent_recognition,20,10,0.95,perceptron,0.696969696969697,0.7727272727272727,0.7272727272727273,0.8636363636363636,0.6923076923076923,0.7505827505827506,1.390256643295288
load_accent_recognition,20,10,0.0,tree,0.7878787878787878,0.7424242424242424,0.6666666666666666,0.7878787878787878,0.8,0.7569696969696968,1.803093671798706
load_accent_recognition,20,10,0.1,tree,0.7424242424242424,0.7727272727272727,0.7575757575757576,0.8636363636363636,0.7692307692307693,0.7811188811188811,1.7291755676269531
load_accent_recognition,20,10,0.2,tree,0.8939393939393939,0.7272727272727273,0.7121212121212122,0.8333333333333334,0.8153846153846154,0.7964102564102564,1.7238759994506836
load_accent_recognition,20,10,0.4,tree,0.7727272727272727,0.803030303030303,0.7121212121212122,0.8181818181818182,0.7846153846153846,0.7781351981351982,1.7278423309326172
load_accent_recognition,20,10,0.5,tree,0.8333333333333334,0.803030303030303,0.7121212121212122,0.8181818181818182,0.7692307692307693,0.7871794871794873,1.7162621021270752
load_accent_recognition,20,10,0.8,tree,0.803030303030303,0.7424242424242424,0.7121212121212122,0.7878787878787878,0.7230769230769231,0.7537062937062938,1.5528600215911865
load_accent_recognition,20,10,0.9,tree,0.7121212121212122,0.696969696969697,0.6060606060606061,0.7121212121212122,0.7076923076923077,0.686993006993007,1.472153902053833
load_accent_recognition,20,10,1.0,tree,0.6515151515151515,0.6212121212121212,0.6363636363636364,0.6363636363636364,0.676923076923077,0.6444755244755245,1.3945937156677246
load_accent_recognition,20,10,0.05,tree,0.7878787878787878,0.8181818181818182,0.7272727272727273,0.8939393939393939,0.7692307692307693,0.7993006993006992,1.5659794807434082
load_accent_recognition,20,10,0.15,tree,0.7878787878787878,0.8333333333333334,0.696969696969697,0.8333333333333334,0.7538461538461538,0.7810722610722611,1.5555641651153564
load_accent_recognition,20,10,0.25,tree,0.8333333333333334,0.803030303030303,0.7121212121212122,0.8181818181818182,0.8,0.7933333333333333,1.5521280765533447
load_accent_recognition,20,10,0.3,tree,0.8333333333333334,0.7575757575757576,0.7575757575757576,0.8333333333333334,0.7846153846153846,0.7932867132867133,1.5507776737213135
load_accent_recognition,20,10,0.35,tree,0.7575757575757576,0.7878787878787878,0.7424242424242424,0.8333333333333334,0.8153846153846154,0.7873193473193474,1.55126953125
load_accent_recognition,20,10,0.45,tree,0.7575757575757576,0.7878787878787878,0.6666666666666666,0.8636363636363636,0.8,0.7751515151515151,1.5480387210845947
load_accent_recognition,20,10,0.55,tree,0.7121212121212122,0.7878787878787878,0.7575757575757576,0.8939393939393939,0.7230769230769231,0.774918414918415,1.5434932708740234
